[000:00:06;271] OO
[000:00:10;710] SUPERSTAR MICHAEL JACKSON
[000:00:12;845] INSISTS TONIGHT THAT HE'S NOT A
[000:00:13;646] CRIMINAL, HE'S THE VICTIM.
[000:00:16;315] TOUR IN THE FAR EAST TODAY --
[000:00:18;250] TO THE FACT THAT HE'S BECOME
[000:00:19;485] THE TARGET OF A CRIMINAL CHILD
[000:00:20;319] ABUSE INVESTIGATION.
[000:00:22;655] JACKSON BLAMES THE SITUATION
[000:00:23;723] ON PEOPLE WHO WANT TO CASH IN
[000:00:24;557] ON HIS FAME.
[000:00:25;825] JIM MORET REPORTS.
[000:00:30;663] MICHAEL JACKSON'S RANCH AND
[000:00:32;999] ANOTHER OF HIS HOMES WERE
[000:00:34;033] SEARCHED BY POLICE
[000:00:35;367] INVESTIGATING A CHILD ABUSE
[000:00:37;770] ALLEGATION THAT THE POP STAR'S
[000:00:38;871] SECURITY CONSULTANT BLAMED
[000:00:40;139] TUESDAY ON AN EXTORTION ATTEMPT
[000:00:42;408] GONE AWRY. POLICE CONFIRMED
[000:00:44;844] THAT A COMPLAINT HAS BEEN UNDER
[000:00:46;211] INVESTIGATION SINCE AUG. 17,
[000:00:47;179] BUT OFFICIALS WOULDN'T
[000:00:48;113] ELABORATE. "WE DO NOT WANT TO
[000:00:49;715] FEED ANY WILD SPECOLATION ON
[000:00:50;482] THIS MATTER," CMDR. DAVID
[000:00:51;383] GASCON SAID. JACKSON'S SECURITY
[000:00:52;985] CONSULTANT, ANTHONY PELLICANO,
[000:00:53;819] SAID PEOPLE JACKSON KNEW MADE A
[000:00:55;387] FALSE CHILD ABUSE COMPLAINT
[000:00:56;221] AGAINST THE ENTERTAINER AFTER
[000:00:57;790] HE REFUSED TO PAY THEM $20
[000:00:58;658] MILLION. SEARCH WARRANTS WERE
[000:01:00;225] SERVED OVER THE WEEKEND AT
[000:01:01;093] JACKSON'S CONDOMINIUM IN LOS
[000:01:02;327] ANGELES AND HIS NEVERLAND RANCH
[000:01:03;563] NORTH OF THE CITY. THE WARRANTS
[000:01:04;363] WERE SEALED. "I AM CONFIDENT
[000:01:05;932] THE DEPARTMENT WILL CONDUCT A
[000:01:06;766] FAIR AND THOROUGH INVESTIGATION
[000:01:08;167] AND ITS RESULTS WILL
[000:01:09;134] DEMONSTRATE THAT THERE WAS NO
[000:01:09;969] WRONGDOING ON MY PART," JACKSON
[000:01:11;470] SAID IN A STATEMENT FROM
[000:01:12;371] THAILAND, WHERE HE BEGAN THE
[000:01:13;138] FIRST LEG OF A WORLDWIDE
[000:01:14;707] CONCERT TOUR ON TUESDAY.
[000:01:15;608] JACKSON HIRED CRIMINAL LAWYER
[000:01:17;242] HOWARD WEITZMAN, WHO DEFENDED
[000:01:18;477] JOHN DELOREAN IN A COCAINE CASE
[000:01:19;679] IN WHICH THE FORMER AUTOMAKER
[000:01:20;512] WAS ACQUITTED. DURING A BRIEF
[000:01:22;147] NEWS CONFERENCE, WEITZMAN READ
[000:01:23;749] THE STATEMENT FROM JACKSON BUT
[000:01:25;349] REFUSED TO ANSWER QUESTIONS.
[000:01:27;052] PELLICANO, WHO APPEARED WITH
[000:01:30;855] WEITZMAN AT THE NEWS
[000:01:34;893] "AN EXTORTION GONE AWRY."
[000:01:38;630] JACKSON GETS 25 TO 30 SUCH
[000:01:40;699] EXTORTION ATTEMPTS A YEAR, SAID
[000:01:42;567] PELLICANO, WHO HAS WORKED FOR
[000:01:54;846] ACCORDING TO
[000:02:30;949] MICHAEL JACKSON'S SECURITY
[000:02:31;950] CONSULTANT, HE IS THE TARGET OF
[000:02:33;952] AS MANY AS 30 EXTORTION
[000:02:34;619] ATTEMPTS EVERY YEAR.
[000:02:36;121] POLICE ARE REFUSING TO RELEASE
[000:02:38;089] DETAILS ABOUT THEIR
[000:02:38;890] INVESTIGATION INTO THIS
[000:02:39;891] INCIDENT -- SAYING THEY DON'T
[000:02:41;726] WANT TO FEED WHAT THEY CALL,
[000:02:42;593] "WILD SPECULATION"
[000:02:45;130] AT 12:23 THIS MORNING,
[000:02:47;132] CONVICTED KILLER DAVID MASON
[000:02:48;099] BECAME THE SECOND PERSON TO DIE
[000:02:49;934] IN SAN-QUENTIN'S GAS CHAMBER...
[000:02:51;536] SINCE CALIFORNIA RE-INSTITUTED
[000:02:52;335] THE DEATH PENALTY.
[000:02:53;971] MASON WAS EXECUTED FOR THE
[000:02:54;838] MURDERS OF FIVE PEOPLE.
[000:02:56;874] HE HAD VOWED TO, IN HIS WORDS,
[000:02:57;741] "GO OUT WITH DIGNITY. "
[000:02:59;843] DOUG MURPHY HAS MORE ON HIS
[000:03:01;411] FINAL MOMENTS.
[000:03:04;815] WITNESSES TO THE EXECUTION WERE
[000:03:06;150] MOVED INTO THE VIEWING AREA
[000:03:06;884] JUST BEFORE MIDNIGHT MONDAY
[000:03:07;617] NIGHT. WITHIN THE HALF-HOUR
[000:03:09;153] CYANIDE CRYSTALS WERE DROPPED
[000:03:10;087] INTO DISTILLED WATER AND
[000:03:11;221] SULFURIC ACID IN SAN QUENTIN'S
[000:03:13;290] GAS CHAMBER. A SHORT TIME LATER
[000:03:15;292] AT 12:23 A-M CONVICTED MS
[000:03:16;359] MURDERER DAVID MASON WAS DEAD.
[000:03:18;562] WITNESSES TO THE EXECUTION
[000:03:19;763] DESCRIBED MASON'S LAST MOMENTS
[000:03:20;564] ALIVE.
[000:03:20;931] (WITNESS)
[000:03:21;699] (WITNESS)
[000:03:25;969] PRISON AND STATE
[000:03:56;666] OFFICIALS SAY THAT MASON COULD
[000:03:57;801] HAVE HALTED HIS EXECUTION AT
[000:03:59;803] THE FEDERAL APPEALS PROCESS. HE
[000:04:01;571] KNEW THAT UNTIL THE LAST
[000:04:02;272] MOMENT.
[000:04:03;707] .(DANIEL VASQUEZ/SAN QUENTIN
[000:04:04;474] WARDEN)
[000:04:05;776] AND EACH OF THE A DIFFERENT
[000:04:06;810] REACTION TO WATCHING SOMEONE
[000:04:07;577] DIE.
[000:04:26;696] (WITNESS)
[000:04:27;130] (WITNESS)
[000:04:30;567] MASON IS ONLY THE
[000:04:48;785] SECOND DEATH ROW INMATE TO DIE
[000:04:51;354] IN SAN QUENTIN'S GAS CHAMBER IN
[000:04:52;922] THE LAST TWENTY-SIX YEARS. IT
[000:04:57;193] WAS THIRTEEN YEARS AGO WHEN HE
[000:04:59;296] MURDERED THE FIRST OF FOUR
[000:05:01;498] ELDERLY PEOPLE... AND LATER HIS
[000:05:03;566] CELLMATE IN AN ALAMEDA COUNTY
[000:05:04;901] JAIL.
[000:05:05;268] MASON IS THE FIRST CALIFORNIA
[000:05:06;035] DEATH ROW INMATE TO ASK THAT
[000:05:08;037] HIS EXECUTION BE CARRIED OUT.
[000:05:08;838] WAIVING RIGHTS TO LAST-MINUTE
[000:05:09;606] FEDERAL APPEALS .....EARLY
[000:05:10;340] TUESDAY MORNING IN THE SAN
[000:05:11;073] QUENTIN GAS CHAMBER... HIS
[000:05:11;808] FINAL WISH WAS GRANTED.
[000:05:12;475] DOUG MURPHY CHANNEL 5
[000:05:13;843] MASON WAS NOT THE ONLY MAN
[000:05:14;577] EXECUTED TODAY.
[000:05:15;111] IN HUNTSVILLE TEXAS, A
[000:05:15;945] 26-YEAR-OLD MAN WAS PUT TO
[000:05:17;947] DEATH BY LETHAL INJECTION.
[000:05:21;918] KILLING A MAN DURING A ROBBERY.
[000:05:24;120] BUT CANTU WENT TO HIS DEATH,
[000:05:25;221] CLAIMING IT WAS A CASE OF
[000:05:28;658] POLICE IN SUNNYVALE ARE
[000:05:29;693] SEARCHING FOR A FEMALE
[000:05:32;796] MANY OF THOSE STUDENTS ARRIVE
[000:05:33;830] HERE WITH LITTLE MORE
[000:05:34;864] PREPARATION THAN A PHRASEBOOK
[000:05:35;632] AND A PRAYER.
[000:05:39;568] "
[000:05:43;572] MASAHIRO KAWASHIMA DREAMS OF
[000:05:46;542] BEING A FILMMAKER...AND HE WAS
[000:05:47;810] WILLING TO PAY MORE THAN 11,000
[000:05:49;879] DOLLARS FOR HIS AMERICAN
[000:05:50;579] EXPERIENCE.
[000:05:52;048] THAT'S HOW MUCH HE PAID A
[000:05:54;350] STUDENT EXCHANGE AGENCY IN
[000:05:55;684] JAPAN TO SET HIM UP IN THIS
[000:05:56;418] ENGLISH CLASS.
[000:05:57;619] BUT, KAWASHIMA SAYS THE AGENCY
[000:05:58;687] DID LITTLE TO PREPARE HIM FOR
[000:06:01;090] THE DANGERS OF LIVING IN THE
[000:06:01;858] BAY AREA.
[000:06:05;995] "THEY RECOMMEND ME TO NOT BRING
[000:06:08;430] MUCH MONEY WITH ME WALKING THE
[000:06:09;232] STREET."
[000:06:10;833] THE EXCHANGE STUDENT MURDERED
[000:06:13;269] IN CONCORD LAST WEEK WAS ALSO
[000:06:14;436] PLACED HERE BY A FOR-PROFIT
[000:06:15;471] HOMESTAY AGENCY.
[000:06:20;576] PROCESS, VISIT THE SCHOOLS
[000:06:21;810] WHERE THE KIDS STUDY, BUSINESS
[000:06:24;213] IS DONE BY PHONE AND FAX, SO
[000:06:25;414] THEY JUST PUT THE STUDENT ON A
[000:06:27;750] PLANE A JUST CROSS THEIR
[000:06:29;085] FINGERS." ALLISON ALLAIR WORKED
[000:06:31;520] FOR A JAPANESE EXCHANGE COMPANY
[000:06:32;688] IN BERKELEY... THAT HAS SINCE
[000:06:37;659] "IT'S UP TO THE STUDENT TO TAKE
[000:06:39;996] CARE OF THEMSELVES AND JAPANESE
[000:06:41;998] STUDENTS AREN'T ACCUSTOMED TO
[000:06:42;765] THAT."
[000:06:45;467] "IF YOU ARE A JAPANESE STUDENT
[000:06:46;269] WITH ENOUGH MONEY THERE ARE
[000:06:48;237] DOZENS OF HOMESTAY PACKAGES YOU
[000:06:49;238] CAN CHOOSE FROM THAT WILL BRING
[000:06:53;675] ONE TRAVEL AGENT I SPOKE WITH,
[000:06:54;710] THE MORE A JAPANESE STUDENT
[000:06:56;913] PAYS, THE SAFER HE FEELS."
